,question,answer
53,R_CRS代表什么方法和配置？,R_CRS代表cosmic rays mask的方法和配置，即深度宇宙射线模型(deepCR_model)。
54,SATURATE的值是多少？,365.9759
55,CTYPE1表示什么类型的WCS投影？,CTYPE1表示RA的WCS投影类型为RA---TPV。
56,CRVAL1的值是多少？,265.1950933
57,CD1_1代表什么？,CD1_1代表转换矩阵元素，单位是度/像素(deg/pix)，值为-8.17E-06。
58,PV1_0是哪个类型的参数？,PV1_0是投影畸变参数，类型为浮点数(float)。
59,ASTRRMS1的值是多少？,21.05490505
60,CSST仿真数据将利用哪些方法进行修正？,CSST仿真数据将利用正向建模(forward modeling) 、系统误差权重 (systematics weights) 等成熟方法进行修正。
61,强引力透镜观测数据中，常用的统计量有哪些？,强引力透镜观测数据中，常用的统计量包括透镜星系的速度弥散、像的最大角分离和透镜体红移的分布、多像之间的时间延迟。
62,第一个科学案例采用了哪个统计量进行宇宙学参数估计？,第一个科学案例采用了透镜星系的速度弥散作为统计量进行宇宙学参数估计。
63,CSST相比于第三代巡天有哪些优势？,CSST作为计划中的第四代巡天，其巡天面积比第三代大一个量级，巡天深度比第三代要高1至2个星等。
64,CSST预计能在多大的天区内观测到多少星系尺度强引力透镜？,CSST预计能在17500平方度的天区内观测到约105个星系尺度强引力透镜。
65,进行精确预研究需要借助哪个光谱巡天数据？,进行精确预研究需要借助CSST巡天之前或同时期的光纤光谱巡天数据，特别是即将投入观测的DESI光谱巡天。
66,表5.1.1展示了什么内容？,表5.1.1展示了包含约5.5×104个强透镜系统的CSST模拟样本对宇宙学参数的限制预言，以及来自Chen et al. (2019) 的现有观测样本对宇宙学参数的限制情况。
67,CSST模拟样本在ΛCDM模型框架下对物质密度参数Ωm的估算不确定度是多少？,CSST模拟样本在ΛCDM模型框架下对物质密度参数Ωm的估算不确定度为～9%。
68,快速射电暴是什么？,快速射电暴 (FRB) 是于2007年发现的来自遥远宇宙中突然出现的短暂而猛烈的无线电波爆发，持续时间极短，通常只有几毫秒，却能够释放出相当于太阳在一整天内释放的能量。
69,强引力透镜化的快速射电暴系统有哪些研究优势？,强引力透镜化的快速射电暴系统可以用来精确测量宇宙膨胀率和空间曲率，在研究许多问题方面具有独特的优势。
70,IFS数据处理软件中有哪几条流水线？,IFS数据处理软件中有以下四条流水线：IFS 0级数据准备流水线（KSC-SJ6-PL0-01）、IFS单次曝光处理流水线（KSC-SJ6-PL1-01）、IFS多次曝光合成流水线（KSC-SJ6-PL1-02）、IFS二级数据处理流水线（KSC-SJ6-PL2-01）。
71,IFS 0级数据准备流水线主要负责哪些工作？,IFS 0级数据准备流水线主要负责QC0检验和图像数据入库。QC0检验包括校验码校验、0级数据的科学可用性标记、图像数据的主要参数和次要参数做检验并进行标记。在图像数据完成可用性标记后，提取图像关键参数信息进行索引标识后进行数据入库。
72,IFS单次曝光处理流水线的编号是什么？,IFS单次曝光处理流水线的编号是KSC-SJ6-PL1-01。
73,IFS多次曝光合成流水线的主要功能是什么？,IFS多次曝光合成流水线的主要功能是从数据库读入某科学目标的一组单次曝光的经过单次曝光处理流水线处理的数据立方作为输入，进行多次曝光合成的流水线处理，处理生成多次合成的数据，经过质量标记，存入数据库。
74,IFS二级数据处理流水线包含哪两大部分？,IFS二级数据处理流水线主要包含两大部分：光谱质量检验和光谱科学参数提取。
75,IFS数据处理流水线可以分解为多少个主要工作包单元？,IFS数据处理流水线可以分解为25个主要工作包单元，分别是：0级数据准备流水线包括2个工作包单元，单次曝光处理流水线包括11个工作包单元，多次曝光合成流水线包括6个工作包单元，二级数据处理流水线包括6个工作包单元。
76,IFS 0级数据可用性标记工作包的编号是什么？,IFS 0级数据可用性标记工作包的编号是KSC-SJ6-PK-01。
77,IFS光谱提取工作包属于哪条流水线？,IFS光谱提取工作包属于单次曝光处理流水线。
78,IFS多次曝光合成流水线中，哪个工作包负责天光背景的扣除？,IFS多次曝光合成流水线中，IFS天光背景扣除工作包（KSC-SJ6-PK-17）负责天光背景的扣除。
79,IFS二级数据处理流水线中，哪个工作包负责光谱科学参数的提取？,IFS二级数据处理流水线中，未直接提到具体哪个工作包负责光谱科学参数的提取，但提到了光谱科学参数提取是流水线的一部分，可能涉及IFS积分光谱的吸收线测量工作包（KSC-SJ6-PK-22）和IFS积分光谱的发射线测量工作包（KSC-SJ6-PK-23）等相关工作包。
80,数据预处理的上一步是什么？,数据预处理的上一步是符合数据检查的光谱波段数据完备的拼接光谱。
81,点源光谱分类结果包括哪些类别？,点源光谱分类结果包括恒星、类星体、星系、其它等类别。
82,展源光谱星系红移测量是针对什么光谱进行的？,展源光谱星系红移测量是针对第二步产生的展源光谱进行的。
83,无缝光谱红移优化测量工作包主要针对哪些光谱进行分类？,无缝光谱红移优化测量工作包主要针对粗分类为星系与类星体的光谱进行分类。
84,谱线检测模块的输出是什么？,谱线检测模块的输出是谱线检测结果。
85,发射线星系谱线测量工作包的主要任务是什么？,发射线星系谱线测量工作包的主要任务是进行发射线星系谱线测量，得到发射线测量星表，并作为2级数据存入数据库中。
86,恒星参数测量工作包结合了哪些信息？,恒星参数测量工作包结合了多色测光星表信息，对一维无缝光谱进行恒星参数测量。
87,神经网络预估计模块的输出是什么？,神经网络预估计模块的输出是神经网络的恒星参数初值（有效温度、表面重力、金属丰度和α丰度）。
88,高精度波长定标工作包首先进行哪项任务？,高精度波长定标工作包首先进行收集速度标准星表并生成全波段模板谱的任务。
89,更新目标波长模块的输出是什么？,更新目标波长模块的输出是波长修正后的CSST一维光谱。
90,先进天基太阳天文台ASO-S的任务类型是什么？,太阳圈物理学探测
91,ASO-S的卫星目录序号是多少？,54029
92,ASO-S的设计寿命是多久？,4年
93,ASO-S的制造方有哪些单位？,微小卫星创新研究院、国家天文台、长春光学精密机械与物理研究所、紫金山天文台
94,ASO-S的发射日期是什么时候？,2022年10月9日7时43分55秒
95,ASO-S的运载火箭是什么？,长征二号丁运载火箭（遥五十五）
96,ASO-S的轨道半长轴是多少公里？,7098公里
97,ASO-S搭载了什么仪表来观测太阳光球矢量磁场？,全日面矢量磁像仪（FMG）
98,ASO-S的科学目标是什么？,观测和研究太阳磁场与太阳上两类最剧烈的爆发现象—耀斑爆发和日冕物质抛射的起源及三者之间可能存在的因果关系，揭示太阳磁场演变导致太阳耀斑爆发和日冕物质抛射的内在物理机制，为空间天气提供预报的物理基础。
99,莱曼阿尔法太阳望远镜（LST）的主要观测目标是什么？,观测日冕物质抛射的形成和早期演化
100,IFS积分光谱的发射线测量工作包的编号是什么？,IFS积分光谱的发射线测量工作包的编号是KSC-SJ6-PK-23。
101,IFS 0级数据可用性工作包主要包含哪些功能模块？,IFS 0级数据可用性工作包主要包含三个功能模块，分别为：主要参数检查模块，次要参数检查模块，导星数据模块。
102,IFS 0级数据索引标识工作包的主要功能是什么？,IFS 0级数据索引标识工作包的主要功能是对图像进行关键参数提取和数据库索引，为下一步数据处理流水线提供数据文件的索引功能。
103,IFS参考数据准备工作包是根据什么条件向数据库索取观测图像的？,IFS参考数据准备工作包是根据目标观测条件向数据库索取指定时间段内的参考数据的观测图像。
104,IFS仪器效应改正工作包中，对0级数据图像进行了哪些改正？,IFS仪器效应改正工作包对0级数据图像进行了bias、暗电流改正，标记坏点，CTE效应改正，Flat改正，以及对可能干扰条纹进行探测并改正。
105,IFS宇宙线扣除工作包是如何在科学图像中标记宇宙线的？,IFS宇宙线扣除工作包通过在输入图像中搜寻宇宙线，在mask文件中记录其像元位置，并在科学图像中标记宇宙线。
106,IFS光谱成像位置追踪工作包利用什么图像追踪切片在CCD上的成像位置？,IFS光谱成像位置追踪工作包利用平场图像追踪切片在CCD上的成像位置。
107,IFS光谱成像位置追踪工作包输出什么拟合参数用于后续抽谱工作包？,IFS光谱成像位置追踪工作包输出每条切片色散后成像的中线位置的多项式拟合结果，用于后续抽谱工作包。
108,IFS光谱抽取工作包依据什么结果定位切片光谱带位置？,IFS光谱抽取工作包依据光谱追踪的结果定位切片光谱带位置。
109,IFS光谱抽取工作包得到什么输出？,IFS光谱抽取工作包得到抽谱后的科学图像并输出。
110,表8.1是什么产品配套表？,从文档中找不到答案
111,表9.1详细列出了观测需求编排软件的哪6项功能？,表9.1详细列出了观测需求编排软件人机交互6 项功能。
112,表9.3的观测需求编排软件包含哪6项功能详表？,表9.3的观测需求编排软件包含观测需求编排6 项功能详表。
113,表10.1列出了数据处理软件的哪两级数据处理模块功能？,表10.1列出了数据处理软件0-1 级数据处理模块功能。
114,表10.2主要描述了多色成像的哪些功能？,表10.2主要描述了多色成像的主要功能。
115,表10.5的巡天模块主要有哪些流水线？,表10.5的巡天模块主要有巡天模块主要流水线。
116,表10.7是关于多色成像哪级数据的可用性标记工作包？,表10.7是关于多色成像0 级数据的可用性标记工作包。
117,表10.12多色成像流量定标工作包包含哪些模块？,表10.12多色成像流量定标工作包包含多色成像流量定标工作包模块。
118,表10.18是关于多色成像密集星场的哪次位置定标工作包？,表10.18是关于多色成像密集星场二次位置定标工作包。
119,表10.31多色成像恒星参数计算工作包包含哪些模块？,表10.31多色成像恒星参数计算工作包包含多色成像恒星参数计算工作包模块。
120,钱德拉X射线天文台是由哪个机构发射的？,钱德拉X射线天文台是由美国国家航空航天局（NASA）发射的。
121,钱德拉X射线天文台的发射日期是什么时候？,钱德拉X射线天文台的发射日期是1999年7月23日。
122,钱德拉X射线天文台的发射地点是哪里？,钱德拉X射线天文台的发射地点是肯尼迪航天中心。
123,钱德拉X射线天文台以哪位科学家命名？,钱德拉X射线天文台以美国籍印度物理学家苏布拉马尼扬·钱德拉塞卡命名。
124,钱德拉X射线天文台的轨道周期是多少小时？,钱德拉X射线天文台的轨道周期是64.2小时。
125,钱德拉X射线天文台的总质量是多少？,钱德拉X射线天文台的总质量是4790 kg，约4.8吨。
126,钱德拉X射线天文台的主镜口径是多少？,钱德拉X射线天文台的主镜口径是1.2米。
127,高新CCD成像频谱仪（ACIS）的观测能段是什么？,高新CCD成像频谱仪（ACIS）的观测能段为0.2-10 keV。
128,高分辨率照相机（HRC）的时间分辨率是多少？,高分辨率照相机（HRC）的时间分辨率达到0.016秒。
129,钱德拉X射线天文台发现了哪些重要的天文现象？,钱德拉X射线天文台发现了中等质量黑洞的证据、伽玛射线暴GRB 991216中的X射线发射、银河系中心超大质量黑洞射手座A的X射线辐射、物质从原恒星盘落入恒星时发出的X射线等重要的天文现象。
130,图10.62描述的是哪个工作包的流水线？,照相天体测量参考星历表编制工作包流水线
131,天测多历元位置数据解算工作包涉及哪些参数？,从文档中找不到答案
132,无缝光谱仪器效应改正工作包在哪个流程图中描述？,图10.67
133,无缝光谱初步位置定标工作包的流程图编号是多少？,图10.69
134,图10.72描述的是哪个工作包的流程图？,无缝光谱精确位置定标工作包流程图
135,基于目标源的一维光谱抽取工作包在哪个流程图中有所体现？,图10.73
136,无缝光谱的粗分类与红移测量工作包属于哪个数据处理环节？,从文档中找不到答案
137,MCI数据处理整体流水线图是哪一个？,图10.82
138,MCI图像评估流水线在图中的编号是多少？,图10.83
139,MCI超深场图像合并数据流水线主要处理什么内容？,从文档中找不到答案
140,助数据存储在哪个目录下？,助数据（表10 和表14）存储于Params 目录下。
141,CSST高灵敏度太赫兹模块有几个探测器？,CSST高灵敏度太赫兹模块总共有3个探测器，探测器1，2工作频率为410-510 GHz，探测器3不再使用（最初设计的工作频率为520-630 GHz）。
142,太赫兹模块单点观测的采样时间是多少？,单点观测时，太赫兹模块的探测器1和2只有一个观测，采样时间是1s。
143,CSST文件名中的TYPE1表示什么？,CSST文件名中的TYPE1表示对目标源（ONS）或OFF点（OFF）或定标观测（CAL）。
144,CSST文件名中的OBSID代表什么？,CSST文件名中的OBSID代表地面发出的一次观测指令的标识。
145,主巡天模块的光学数据文件对象包含几个HDU？,主巡天模块的光学数据文件对象包含两个HDU。
146,主巡天红外相机的0级数据是几维的？,主巡天红外相机的0级数据是三维的datacube。
147,MCI的0级数据image data如何排列？,MCI的0级数据image data按照通道号从小到大的顺序将16通道数据从左到右排列为一个二维矩阵。
148,IFS的0级数据image data是几维的？,IFS的0级数据image data是一个3维的datacube矩阵。
149,CPIC模块的红外图像数据像素是多少？,CPIC模块的红外图像数据像素为640*512。
150,Spektr-R的NSSDC ID是什么？,2011-037A
151,Spektr-R是由哪个组织机构负责的？,俄罗斯天文航天中心
152,Spektr-R的主要制造商是谁？,拉沃契金设计局
153,Spektr-R是在哪一天发射的？,2011年7月18日02:31 UTC
154,Spektr-R的发射地点是哪里？,拜科努尔航天发射场45号发射台
155,Spektr-R的任务时长原计划是多少年？,5年（已运行了13年零3日）
156,Spektr-R望远镜的口径有多大？,10m
157,Spektr-R的主要目标是什么？,以只有百万分之几角分的超高角分辨度研究天体
158,Spektr-R的观测波长有哪些？,1.35–6.0、18.0 和 92.0 公分
159,Spektr-R进入太空后，它的天线多久能够完全展开？,30分钟内
160,空间站望远镜在研究黑洞增长和演化方面的主要优势是什么？,空间站望远镜在研究黑洞增长和演化方面的主要优势在于高空间分辨率多波段观测，非常有助于准确判选大样本的活动星系核，推算它们宿主星系的详细性质，以及探测它们的大尺度环境。
161,CSST的哪些波段对计算类星体的测光红移有重要作用？,CSST的NUV和u波段对计算类星体的测光红移和区分类星体与恒星都具有重要作用。
162,我们预期空间站望远镜能将黑洞质量函数的低质量端下潜到什么范围？,我们预期空间站望远镜能将黑洞质量函数的低质量端下潜到10^5-6太阳质量以下。
163,基于大规模活动星系核样本的成团性测量，我们可以初步建立什么关系？,基于大规模活动星系核样本的成团性测量，我们预期可以初步建立黑洞质量-暗晕质量的平均关系，并给出其红移演化。
164,反响映射方法是什么？,反响映射方法是测量活动星系核中心超大质量黑洞的质量最直接的方法，但其往往需要进行长达1年乃至数年的监测，难以对大批量活动星系核开展研究。
165,宽线区尺度-光度关系被用于什么目的？,宽线区尺度-光度关系被用于从单次曝光光谱估计宽线区尺度（R_BLR），进而结合发射线宽度可直接得到黑洞质量，被广泛应用于活动星系核大样本的黑洞质量估计及黑洞性质的统计研究中。
166,预计在多历元观测的无缝光谱观测区域，每平方度可以获得多少个活动星系核的光变曲线？,预计在有多历元观测的无缝光谱观测区域，约可获得每平方度7个活动星系核的光变曲线（若有20平方度视场进行多历元重复监测，可获得140个活动星系核光变曲线）。
167,对类星体宿主星系进行研究的主要困难有哪些？,对类星体宿主星系进行研究的主要困难在于：一是，在光谱观测中如何将活动星系核成分和宿主星系成分分离开来；二是，受观测深度和空间分辨率的限制和活动星系核高光度遮掩的影响，宿主星系的形态较难观测到。
168,通过类星体宿主星系的研究，我们可以构建出哪三者的相互关系？,通过类星体宿主星系的研究，我们可以构建出活动星系核性质、宿主星系的恒星形成过程、宿主星系的形态和环境这三者的相互关系。
169,星系中的反馈主要由哪些能量提供？,星系中的反馈的能量主要由星系中心超大质量黑洞以及超新星爆炸提供。
170,CSST预期在哪个研究方向能取得重大突破？,CSST预期在星系构大小随环境及红移的演化这个研究方向能取得重大突破。
171,星系演化受到哪些复杂因素的影响？,星系演化受到诸如星系从星系间介质/星系周介质（IGM/CGM）吸积气体，在气态星际介质（ISM）形成新的恒星，恒星质量和中心黑洞增长，经历恒星形成被终止过程等复杂因素的影响。
172,在近邻宇宙中，星系团环境中的星系通常呈现什么特征？,在近邻宇宙中，星系团环境中的星系大多呈现椭球型，年老星族和低恒星形成率（SFR）特征。
173,原初星系团是什么？,原初星系团（protocluster）是指大质量星系团的前身，存在于红移z>2的宇宙中。
174,星系形态-密度关系在哪个红移值被证实？,星系形态-密度关系已在红移z～1被证实。
175,星系周介质（CGM）在星系演化中扮演什么角色？,星系周介质（CGM）是星系重子循环的必经途径，也是星系演化环节中理解得最为薄弱的一个环节。探测并理解CGM的形成演化，以及其中多相气体的复杂转换过程，对理解星系形成和演化具有重要作用。
176,eDIG通常主要分布在哪里？,eDIG通常被认为主要分布于星系与其周围环境相互作用的界面上。
177,CSST-MCI相比于哈勃太空望远镜有哪些优势？,CSST-MCI具有比哈勃太空望远镜上的ACS和WFC3更大的有效视场，更适合研究星系周围延展的电离气体结构。同时，CSST-MCI的空间分辨率也远好于绝大多数地面观测，有助于分辨许多小尺度上的精细结构。
178,在高红移宇宙中，研究CGM特征有什么重要意义？,在高红移宇宙中，研究CGM特征将极大的帮助了解星系剧烈演化时的重子循环过程，同时，高恒星形成率也预期了更为明亮的CGM辐射，因此研究高红移星系周及星系际气体是理解星系形成及演化的重要手段。
179,宇宙学尺度上模拟星系形成和演化主要有哪两种方法？,宇宙学尺度上模拟星系形成和演化主要有两种方法，即流体动力学模拟和半解析模型。
180,无缝光谱红移优化测量工作包属于哪个部分？,无缝光谱红移优化测量工作包属于8.1.4部分，具体为8.1.4.47。
181,无缝光谱高精度流量定标工作包的页码是多少？,无缝光谱高精度流量定标工作包的页码是118。
182,多通道成像仪数据处理的主要功能有哪些？,多通道成像仪数据处理的主要功能在文档8.2.1部分描述，但具体内容未详细列出（需要参考文档8.2.1的详细内容）。
183,MCI的哪个工作包负责图像评估？,MCI的图像评估工作包负责图像评估，具体为8.2.3.2 MCI 图像评估工作包。
184,单次曝光图像处理包括哪些工作包？,单次曝光图像处理包括的工作包有：单次曝光图像处理-仪器效应改正工作包（8.2.3.4），单次曝光图像处理-位置定标工作包（8.2.3.5），单次曝光图像处理-流量定标工作包（8.2.3.6），单次曝光星表提取工作包（8.2.3.7）。
185,超深场图像合并工作包是哪个部分的？,超深场图像合并工作包是多通道成像仪数据处理部分的工作包，具体为8.2.3.8。
186,积分视场光谱仪数据处理的主要功能是什么？,积分视场光谱仪数据处理的主要功能在文档8.3.1部分描述，但具体内容未详细列出（需要参考文档8.3.1的详细内容）。
187,IFS数据处理流水线包括哪些部分？,IFS数据处理流水线包括IFS 0 级数据准备流水线（8.3.2.1），IFS 单次曝光处理流水线（8.3.2.2），IFS 多次曝光合成流水线（8.3.2.3），IFS 二级数据处理流水线（8.3.2.4）。
188,IFS 0级数据可用性工作包属于哪个部分？,IFS 0级数据可用性工作包属于积分视场光谱仪数据处理的主要工作包之一，具体为8.3.3.1 IFS 0 级数据可用性工作包。
189,IFS的哪个工作包负责0级数据索引标识？,IFS的0级数据索引标识工作包负责0级数据索引标识，具体为8.3.3.2 IFS 0 级数据索引标识工作包。
190,扫描天区模块的输出是什么？,扫描天区模块的输出是扫描天区信息，得到天区扫描信息。
191,多色成像天体分类工作包至少包括哪些天体类型分类？,多色成像天体分类工作包至少包括恒星、星系、QSO、unknown四类天体类型分类。
192,多波段PSF均匀化星表提取工作包最终得到什么？,多波段PSF均匀化星表提取工作包最终得到整合的全波段联合测光星表。
193,图像Mosaic处理模块的输入是什么？,图像Mosaic处理模块的输入是完成定标后的图像数据、weight及flag数据矩阵。
194,天文目标探测模块的输出是什么？,天文目标探测模块的输出是探测的目标星表。
195,多色成像合并图像工作包的输出图像用于什么？,多色成像合并图像工作包的输出图像数据用于PSF重构。
196,星系红移计算工作包支持什么类型的输入？,星系红移计算工作包支持星系的多色测光或无缝光谱数据作为输入。
197,强引力透镜源计算工作包是如何寻找强引力透镜事件的？,强引力透镜源计算工作包通过输入同一天区块多色图像，利用人工智能算法从中寻找强引力透镜事件。
198,恒星参数计算工作包的输入包括哪些？,恒星参数计算工作包的输入包括合并星表和天体分类表。
199,高精度流量定标工作包主要利用什么数据进行定标？,高精度流量定标工作包主要利用1级多色成像数据和海量外部巡天数据进行定标。
200,盖亚任务是哪个空间局的主要项目？,盖亚任务是欧洲空间局的主要项目。
201,盖亚任务的主要目标是什么？,盖亚任务的主要目标是绘制一个包含约10亿颗或银河系1%恒星的三维星图。
202,盖亚任务可以观测到视星等最暗为多少等的天体？,盖亚任务可以观测到视星等最暗为20等的天体。
203,盖亚任务已经发布了几个天体目录？,盖亚任务已经发布了四个天体目录，分别是包含11亿个天体的盖亚DR1、包含17亿个天体的盖亚DR2、包含18亿个天体的盖亚EDR3和盖亚DR3。
204,盖亚空间望远镜是在哪一年发射的？,盖亚空间望远镜是在2013年发射的。
205,盖亚任务使用了什么类型的轨道？,盖亚任务使用了环绕地球轨道L2拉格朗日点的利萨如轨道。
206,盖亚空间望远镜的主要科学仪器有哪些？,盖亚空间望远镜的主要科学仪器有天文测量仪（ASTRO）、光度仪和径向速度光谱仪。
207,盖亚任务预期可达到哪些成果？,盖亚任务预期可对超过10亿颗恒星进行天文测量，可观测最暗恒星为V波段视星等20等，并确认恒星的位置、距离和径向速度等参数，还可以量测数千颗系外行星的轨道和轨道倾角，并确认其真实质量。
208,盖亚DR2是基于多少个月的观测资料释出的？,盖亚DR2是基于22个月的观测资料释出的。
209,盖亚任务首次发现的凌日系外行星围绕哪颗恒星运行？,盖亚任务首次发现的凌日系外行星围绕恒星盖亚EDR3 3026325426682637824运行。
210,"Lu, W., Kumar, P., & Narayan, R. 2017年的文章发表在哪个期刊上？","Lu, W., Kumar, P., & Narayan, R. 2017年的文章发表在MNRAS期刊上。"
211,"Rees, M. J. 1988年的文章是关于哪个主题的？",从文档中找不到答案
212,双星/多星系统的研究对理解什么有至关重要的作用？,双星/多星系统的质量分布、偏心率等对理解恒星的形成和演化有至关重要的作用。
213,目前测量致密天体质量的一般手段是什么？,目前一般的手段是基于双星开普勒轨道运动间接测定系统质量。
214,天体测量中，通过什么方式可以识别双星/多星系统？,利用视差、自行上的摆动（astrometric wobble）来识别双星/多星系统。
215,较差照相测量可以用于验证哪个理论？,较差照相测量可以用于验证广义相对论理论。
