,content,summary
14,"MSC 0级数据文件命名规则中的""TYPE""字段表示什么？","MSC 0级数据文件命名规则中的""TYPE""字段表示目标类型，共有6种类型，包括3种内部标定模式（BIAS/DARK/FLAT）、2种外部定标模式（CALS/CALF）和1种科学观测模式（SCI）。"
15,"CSST_MSC_CAMERA_TYPE_YYYYMMDDhhmmss_YYYYMMDDhhmmss_OBSID_MM_L0_VER.fits文件名中的""OBSID""字段是如何构成的？","""OBSID""是观测编号，格式为X+OBSTYPE+8位数字，其中X=1（主巡天），OBSTYPE为2位数字（由各模块自行定义），8位数字为曝光编号。"
16,"""MM""在MSC 0级数据文件命名规则中代表什么？","""MM""在MSC 0级数据文件命名规则中代表数据对应的两位数的探测器编号。"
17,"MSC 0级数据文件的""VER""字段有什么作用？","MSC 0级数据文件的""VER""字段是版本号，用于标识文件的版本，格式为V+阿拉伯数字，取值范围为V01~V99。"
18,如何通过文件名判断CSST 0级数据文件是由哪个模块生成的？,通过文件名中的OBSID字段的第一个字符（X）可以判断CSST 0级数据文件是由哪个模块生成的，其中X=1代表主巡天模块，2代表多通道成像仪，3代表积分视场光谱仪，4代表系外行星成像星冕仪，5代表高灵敏度太赫兹模块。
19,"MSC 0级数据文件命名中的""YYYYMMDD""和""hhmmss""分别代表什么？","""YYYYMMDD""是八位数观测日期，表示观测的年月日；""hhmmss""是六位数UTC观测时间（开始时间/结束时间），表示观测的具体时间。"
20,卫星平台位置误差的最大允许值是多少？,卫星平台位置误差的最大允许值是不大于16.8公里（单倍中误差）。
21,卫星平台速度误差的单倍中误差上限是多少？,卫星平台速度误差的单倍中误差上限是不大于0.025米/秒。
22,在观测模式下，位置、姿态信息的数据点间隔时间不应超过多少秒？,在观测模式下，从曝光开始到结束的一系列位置、姿态信息的数据点间隔时间不应大于50秒。
23,提高星场缝合位置定位精度的最短时间标是多少？,提高星场缝合位置定位精度的最短时间标是0.05角秒（开启精密导星仪情况下，单倍中误差）。
24,图像辅助数据中，可见光相机的曝光时间是如何计算的？,可见光相机的曝光时间是在每次曝光前的数据处理中进行计算的。
25,可见光相机芯片温度和杜瓦温度信息在何时记录？,可见光相机芯片温度和杜瓦温度信息在曝光前、曝光中、曝光后都会被记录，这些信息用于得到对应温度下暗场结果，进而对对应温度下的图像进行暗场扣除。
26,红外相机曝光时间计算是在何时进行的？,红外相机曝光时间计算在每次曝光前的数据处理中进行。
27,任务辅助数据中，曝光编号与什么进行闭环？,任务辅助数据中，曝光编号与观测编排进行闭环。
28,波前传感器的X、Y偏移量平均值是如何计算的？,波前传感器的X、Y偏移量平均值是根据曝光持续时间内波前传感数据进行计算的，用于图像质量判断。
29,全局头文件中，'OBJ_RA'和'OBJ_DEC'是根据什么查找的？,全局头文件中，'OBJ_RA'和'OBJ_DEC'是根据OBSID查找上注文件得出的。
30,CPIC的LAZER STATUS是什么？,CPIC的LAZER STATUS是OFF，表示激光状态为关闭。
31,HSTDM的BUNIT关键字表示什么？,HSTDM的BUNIT关键字表示数组值的物理单位，样例值为adu，即模数转换单位。
32,IMAGE类型的扩展名是什么？,IMAGE类型的扩展名通常是IMAGE，用于表示这是一个图像类型的扩展。
33,EMCCD的EMGAIN是多少？,EMCCD的EMGAIN是30.0，表示电子倍增电荷耦合器件（EMCCD）的增益。
34,CPIC的WFSINFO1表示什么？,CPIC的WFSINFO1表示CPIC的波前传感器（WFS）在x方向上的残差。
35,HSTDM数据的NAXIS3的长度是多少？,HSTDM数据的NAXIS3的长度是1，表示数据轴的第三个维度长度为1。
36,精细导星仪(FGS)的主要工作原理是什么？,精细导星仪(FGS)的主要工作原理是根据探测到的入射光轴与目标光轴的偏差，通过控制大口径快摆镜组件在一定角度范围内进行极高精度的摆动控制，从而实现高精度稳像。
37,主巡天模块需要哪些类型的姿态数据？,主巡天模块需要包括平台或设施姿态数据、GPS定位数据等，用于提高星场缝合的位置定位精度。
38,HSTDM数据中的CTYPE1代表什么？,HSTDM数据中的CTYPE1表示第一个轴的数据类型，样例值为FREQ，表示频率。
39,快摆镜的角度数据采样频率是多少？,从文档中找不到关于快摆镜角度数据采样频率的具体值，但提到了在曝光期间会进行采样，并且采样数据的频率对于图像的点扩散函数变化分析是重要的。
40,主巡天相机和定标组件的image data数据是什么形式的矩阵？,主巡天相机和定标组件的image data数据应该为一个2维的datacube矩阵，以探测器选型使用CCD为例，如果按照计划的16通道读出，需要将16通道数据按照读出先后次序，顺序排列为一个2维矩阵。
41,在CSST主巡天红外相机中，0级数据如何组织成一个三维的datacube？,在主巡天单次曝光150s时间内，CSST主巡天红外相机会多次读出，产生多帧图像（最多可产生256帧，其中每一帧累积前面的数据），形成一个三维的datacube，存于图像扩展中。
42,MCI 0级数据image data中的数据是如何按通道排列的？,MCI 0级数据的image data部分，以探测器选型使用CCD为例，需要按照通道号从小到大的顺序将16通道数据从左到右排列为一个二维矩阵。
43,IFS的image data数据是如何从4通道数据组织成一个三维datacube的？,IFS的image data数据应该为一个3维的datacube矩阵，以探测器选型使用CCD为例，需要将4通道数据按照读出先后次序，顺序排列为一个2维矩阵，在此基础上，第三维为在相同曝光、指向、跟踪、obsid下，一次采集的帧数n。
44,CPIC模块的可见光和红外图像的像素尺寸分别是多少？,CPIC模块的可见光图像数据像素为1080*1050，红外图像数据像素为640*512。
45,HSTDM模块的0级数据image data是什么类型的文件？,HSTDM模块的0级数据image data是二进制文件，数据的状态字为ASCII码固定格式。
46,全局头文件中的关键字`BITPIX`代表什么？,全局头文件中的`BITPIX`关键字表示数组数据类型，比如8代表8位整数，16代表16位整数等。
47,在全局头文件中，`RA_OBJ`和`DEC_OBJ`分别表示什么？,`RA_OBJ`表示观测目标的赤经（RA），单位为度；`DEC_OBJ`表示观测目标的赤纬（Dec），单位为度。
48,`EXPTIME`关键字在MSC_MS 0级数据头文件中表示什么？,`EXPTIME`关键字在MSC_MS 0级数据头文件中表示曝光时间，单位为秒。
49,RAW EXTENSION HEADER中的`XTENSION`关键字的作用是什么？,RAW EXTENSION HEADER中的`XTENSION`关键字表示这是一个图像扩展，即表明该部分数据包含的是图像信息。
50,PSCAN1表示什么，数据类型是什么？,PSCAN1表示每个读出通道的水平预扫描宽度，数据类型是int。
51,WCSAXES的值代表什么，它的数据类型是什么？,WCSAXES的值代表WCS轴的数量，数据类型是int。
52,GAINLVL的含义和数据类型是什么？,GAINLVL表示增益水平（e-/ADU），数据类型是float。
53,哪个关键字表示CCD增益的数值，其数据类型是什么？,关键字GAIN01至GAIN16表示不同通道的CCD增益（e-/ADU），数据类型是float。
54,DETBIA01表示什么，数据类型是什么？,DETBIA01表示放大器偏置灰度值（ADU，通道1），数据类型是float。
55,EXPTIME的单位是什么，它的数据类型是什么？,EXPTIME的单位是秒（s），数据类型是float。
56,RA_PNT0和DEC_PNT0分别代表什么，它们的数据类型是什么？,RA_PNT0表示观测开始时指向的赤经（deg），DEC_PNT0表示观测开始时指向的赤纬（deg），它们的数据类型都是float。
57,XTENSION的值表示什么，数据类型是什么？,XTENSION的值表示扩展类型（如IMAGE），数据类型是str5。
58,哪个关键字提供了图像的曝光开始时间，它的数据类型是什么？,EXPSTART关键字提供了图像的曝光开始时间（MJD），数据类型是float。
59,DETTEMP0表示什么，其数据类型是什么？,DETTEMP0表示在EXPT0_1时的探测器温度（K），数据类型是float。
60,MCI数据中的TYPE有几种类型？,MCI数据中的TYPE共有9种类型，包括3种内部定标模式（BIAS/DARK/FLAT），2种外部定标模式（CALS/CALF）和4种科学目标模式（EXDF/PI/TRNS/COMB）。
61,IFS数据文件名中TYPE字段的长度是多少？,IFS数据文件名中TYPE字段的长度是4位字符串。
62,CSST_MCI_C1_STAR文件名中的20240101120000代表什么？,CSST_MCI_C1_STAR文件名中的20240101120000代表UTC观测时间，格式为年月日时分秒（2024年01月01日12时00分00秒）。
63,IFS图像数据的维度是多少？,IFS图像数据的维度依赖于探测器的读出通道数量和观测的帧数。对于使用CCD探测器的IFS数据，如果计划使用4通道读出，则image data数据应该为一个三维datacube矩阵，其中前两个维度为图像尺寸（例如1344行×9672列或1856行×13768列），第三维为帧数n。
64,CPIC数据的TYPE字段有几种类型？,CPIC数据的TYPE字段共有8种类型，包括5种定标模式（BIAS/DARK/FLAT/BKGD/LASER）和3种科学目标模式（SCIE/DENF/CALS）。
65,HSTDM观测指令对应的数据包含哪两部分？,HSTDM观测指令对应的数据包含两部分：对目标源进行观测时产生的目标源观测数据（ONS_SCI或ON_SCI）和黑体校准数据（ONS_BLK或ON_BLK）。
66,CSST_IFS_R_SCIE文件名中的30100000012是什么？,CSST_IFS_R_SCIE文件名中的30100000012可能是代表某种编号或序列号，具体含义可能需要根据上下文或相关文档来确定。
67,CSST_CPIC_VIS_SCIE文件名中VIS表示什么？,CSST_CPIC_VIS_SCIE文件名中的VIS表示CPIC数据的可见光波段（Visible）部分。
68,IFS的image data数据为什么要按照读出通道顺序排列？,IFS的image data数据按照读出通道顺序排列是为了保持数据的连续性和便于后续处理。如果探测器使用多通道读出，将不同通道的数据按照读出顺序排列可以形成一个有序的二维矩阵，从而方便进行图像重建和数据分析。
69,表6和表7中，被删除的关键字有哪些是共同的？,在表6和表7中，共同被删除的关键字包括READT0和READT1。
70,MSC_MS 0级数据头文件中XTENSION关键字代表什么？,在MSC_MS 0级数据头文件中，XTENSION关键字代表文件的扩展类型或格式。
71,BITPIX在MSC_MS 0级数据头文件中是什么意思？,在MSC_MS 0级数据头文件中，BITPIX关键字表示每个数据点的位数，它决定了数据的存储方式和精度。
72,MSC_MS 0级数据头文件的CRVAL1和CRVAL2如何估算？,MSC_MS 0级数据头文件的CRVAL1和CRVAL2需要根据指向以及焦面板的几何参数进行估算，通常由地面预处理完成。
73,DETTEMP1在MSC_MS 0级数据头文件中记录的是什么温度？,DETTEMP1在MSC_MS 0级数据头文件中记录的是曝光开始时刻，主焦面的温度。
74,MCI的DIFFUSER关键字在0级数据头文件中记录了什么信息？,MCI的DIFFUSER关键字在0级数据头文件中记录了多通道成像仪的挡板开合信息。
75,MCI的BAND关键字是如何与DETNAME关联的？,MCI的BAND关键字通过其值（如可见光通道005、紫外近红外006）与DETNAME关联，DETNAME根据BAND的值查询配置文件给出。
76,MSC_IR的DETTEMP3关键字记录了哪个时刻的温度？,MSC_IR的DETTEMP3关键字记录了读出结束时刻，主焦面的温度。
77,MSC_IR的IMGNUM关键字表示什么信息？,MSC_IR的IMGNUM关键字表示短波红外图像数据包的帧序号，特别是最后一帧图像的帧序号。
78,在MSC_MS 0级数据头文件中，GAIN01到GAIN16是如何设置的？,在MSC_MS 0级数据头文件中，GAIN01到GAIN16代表各通道或探测器的增益，这些值由指令上传，并添加到相应的数据包中。
79,MCI的WCSAXES关键字在0级数据头文件中与MSC_MS的有什么共同之处？,MCI的WCSAXES关键字在0级数据头文件中与MSC_MS的WCSAXES关键字都用于表示世界坐标系统（WCS）的轴数，通常它们的值都是2。
80,1553B广播的频次是多少？,1553B的广播频次是500ms/次。
81,上电压的漂移如何影响观测图像？,从文档中找不到答案。
82,精密稳像系统的FGS星等范围是多少？,从文档中找不到FGS星等范围的具体值，但提到了精密稳像系统使用FGS来提高星场缝合的位置定位精度。
83,探测器TEC控制温度的频率是多少？,探测器TEC控制温度的频率是每次曝光期间一次，用于提高星场缝合的位置定位精度（短时标）。
84,FGS软件版本何时进行更新？,FGS软件版本在软件更新后进行更新，用于提高星场缝合的位置定位精度（短时标）。
85,FGS电控箱工作状态字1的采样时机是什么？,FGS电控箱工作状态字1的采样时机是每次曝光前、中、后各一次，用于提高星场缝合的位置定位精度（短时标）。
86,波前组件1CMOS1星点质心X坐标的采样时机是什么？,波前组件1CMOS1星点质心X坐标的采样时机是调焦时每调整一次位置采样一次，用于辅助图像后期点扩散函数重构、盲反卷积计算。
87,巡天模块主焦面探测器1-10的温度测量值的采样频率是多少？,巡天模块主焦面探测器1-10的温度测量值的采样频率是每次曝光前、中、后各一次，用于得到对应温度下暗场结果，进而对对应温度下的图像进行暗场扣除。
88,MCI模块定标切换机构状态参数的采样时机是什么时候？,MCI模块定标切换机构状态参数的采样时机是状态切换前后的时间，用于数据处理中的质量校验。
89,IFS模块探测器（红，蓝）的温度测量频率是多少？,IFS模块探测器（红，蓝）的温度测量频率是每次曝光期间，至少采样三次（开始、中间、结束），用于数据处理过程中温度监控，可能会影响BIAS，暗流等数据。
90,CSST 科学数据处理系统 0 级数据的版本号是多少？,从文档内容中可以看到，CSST 科学数据处理系统 0 级数据的版本号是 03.01。
91,《初步技术要求》规定的0级数据主要内容包含哪些？,《初步技术要求》所规定的0级数据主要内容在表1中描述，但具体内容在提供的文档中未直接列出。从文档结构来看，需要查看表1来得知具体内容。
92,表3中列出的是哪些全局头文件关键字？,表3列出了全局头文件的关键字，但具体内容在提供的文档中未直接列出。需要查看表3来获取这些关键字。
93,MSC_MS 0级数据的主要头文件关键字有哪些？,MSC_MS 0级数据的主要头文件关键字在表4中列出，但具体内容在提供的文档中未直接列出。需要查看表4来获取这些关键字。
94,主巡天模块（MSC）的0级数据存储文件夹结构是如何示意图的？,主巡天模块（MSC）的0级数据存储文件夹结构示意图是图1。
95,多通道成像仪模块（MCI）的0级数据存储在哪个示意图中描述？,多通道成像仪模块（MCI）的0级数据存储文件夹结构示意图是图2。
96,IFS模块的0级数据image data结构在哪个示意图中？,IFS模块的0级数据image data结构在示意图图12中描述。
97,星冕仪模块（CPIC）的0级数据存储文件夹结构示意图是哪一个？,星冕仪模块（CPIC）的0级数据存储文件夹结构示意图是图4。
98,高灵敏度太赫兹模块（HSTDM）的0级数据结构示意图位于哪个图表？,高灵敏度太赫兹模块（HSTDM）的0级数据结构示意图位于图14。
99,CSST主巡天红外相机的0级数据结构示意图的编号是什么？,CSST主巡天红外相机的0级数据结构示意图的编号是图8。
100,太赫兹频谱数据包中的DETNAME参数是什么？,DETNAME在太赫兹频谱数据包中表示观测设备选择参数，用于根据配置文件来查询相关的观测参数。
101,BEAM_AT参数代表什么？,BEAM_AT参数代表波束偏离光轴的距离，用CSST本体几何坐标系的x和y方向表征，以及太赫兹焦平面中心处相对于主光轴的方向余弦。
102,LO_FRQ参数在太赫兹频谱数据包中是什么意思？,LO_FRQ参数在太赫兹频谱数据包中表示观测频率参数，包括SIS1和SIS2或SCK观测时LO频率（低字节有效）。
103,OBSID中的后端模块是如何表示的？,OBSID中的后端模块是通过其前3bit来表示的，例如1=主巡天，2=MCI，3=IFS，4=CPIC，5=HSTDM。
104,在OBSID中，观测类型的位数是多少？,在OBSID中，观测类型是通过接下来的5bit来表示的，总共有5位数。
105,主巡天的观测类型有哪些？,主巡天的观测类型包括但不限于SCI（主巡天宽场）、深场观测、9平方度甚深场、银河系核球附近微引力透镜、早期优先观测的弱引力透镜等。
106,CSST_MSC_MS_SCI_xxx.fits文件命名中的SCI代表什么？,在CSST_MSC_MS_SCI_xxx.fits文件命名中，SCI代表科学观测模式，特别是巡天观测。
107,太赫兹频谱数据包中的FPGA_TEM参数属于哪个分类？,FPGA_TEM参数在太赫兹频谱数据包中属于遥测参数及监显要求表，表示频谱主板电压5V。
108,在太赫兹观测类型中，OTF扫描模式代表什么？,在太赫兹观测类型中，OTF扫描模式（OTF）代表一种观测模式，其中望远镜或探测器进行扫描以覆盖更大的天区或实现特定的观测目标。
109,0级数据定义第三版中，obsid的数据结构是如何更改的？,在0级数据定义第三版中，obsid的数据结构进行了更改，将原来用于表示观测类型的4bit增加到了5bit，同时曝光编号的位数从25bit减少到24bit，以适应更多类型的观测需求。
110,"RON02, RON03等参数在地面测试阶段提供，主要写入哪个文件？","RON02, RON03等参数在地面测试阶段提供，主要写入配置文件。"
111,DETBIA01到DETBIA16在地面测试阶段提供时，主要写入什么文件？,DETBIA01到DETBIA16在地面测试阶段提供时，主要写入配置文件。
112,READT0和READT1分别表示什么，在IFS多通道成像仪辅助数据包中有什么作用？,READT0表示读出开始时刻（积分结束时刻+时间间隔约20μs），READT1表示READT0加上读出时长，在读出时长在地面测试阶段提供，并写入配置文件。两者在IFS多通道成像仪辅助数据包中用于描述读出时间信息。
113,IFS的辅助数据包中，DETTEMP0和DETTEMP1各表示什么？,在IFS的辅助数据包中，DETTEMP0和DETTEMP1分别表示在READT0和READT1时刻，二极管1、2、3的粗测温度（具体二极管编号依据设备设计而定），这些温度值用于描述在不同读出时间点的探测器温度状态。
114,在IFS辅助数据包中，ROSPEED参数的范围是多少？,在IFS辅助数据包中，ROSPEED参数的范围是0.05MHz(39D)到1MHz(1D)，表示CCD读出速率。
115,IFS的工作模式是如何通过IFSMODE关键字来定义的？,IFS的工作模式通过IFSMODE关键字来定义，IFSMODE是一个3位的工程参数，不同的二进制值组合代表不同的工作模式，如常温待机模式、低温待机模式、成像模式、光谱定标模式和辐射定标模式等。
116,IFSMODE的不同值分别代表IFS的哪些工作模式？,IFSMODE的不同值代表IFS的不同工作模式，如000代表常温待机模式，001代表低温待机模式，010代表成像模式（自动流程），011代表光谱定标模式（自动流程），100代表辐射定标模式（自动流程）等。
117,CPIC的0级数据头文件中，FILTER关键字是如何用来表示星冕仪的数字量遥测的？,在CPIC的0级数据头文件中，FILTER关键字用来表示星冕仪的数字量遥测，具体的遥测值如DMYj188、DMYj189等通过OBSID查找上注文件获取。
118,在HSTDM的0级数据头文件中，REST_FRQ、V_LSR和LINE关键字的数据来源于哪里？,在HSTDM的0级数据头文件中，REST_FRQ、V_LSR和LINE关键字的数据来源于根据OBSID查找上注文件获取。
119,SIDEBAND关键字在太赫兹频谱数据包中用来表示什么？,SIDEBAND关键字在太赫兹频谱数据包中用来表示观测边带参数，具体值为0x00时表示低边带（高本振LO），为0x11时表示高边带（低本振LO）。
120,NAXIS1在MSC_MS的0级数据中代表什么，其数据类型是什么？,NAXIS1在MSC_MS的0级数据中代表数组第一个维度的大小，对于图像来说，这通常是图像宽度（像素数）。其数据类型是int（整数）。
121,PCOUNT在数据文件头中代表什么信息，其数据类型是什么？,PCOUNT在数据文件头中代表伴随数据的参数数组的长度。在MSC_MS 0级数据中，PCOUNT的值是0，表示没有伴随数据的参数数组。其数据类型是int（整数）。
122,MSC_MS中，DETTEMP1指的是什么温度，其数据类型是什么？,MSC_MS中，DETTEMP1指的是曝光开始时探测器（detector）的温度，单位是开尔文（K）。其数据类型是float（浮点数）。
123,WCSAXES的值代表什么，在MSC_MS中是什么数据类型？,WCSAXES的值代表世界坐标系统（WCS）的轴数，对于二维图像来说，这通常是2。在MSC_MS中，其数据类型是int（整数）。
124,GAINLVL在MSC_MS中的数据类型是什么？,GAINLVL在MSC_MS中的数据类型是str2（字符串），但请注意，这个值（如示例中的'1'）通常被用作索引或标志，实际增益值在GAINxx关键字中给出，且为float类型。
125,对于MSC_IR，DETSIZE表示什么，其数据类型是？,对于MSC_IR，DETSIZE表示探测器的大小，通常以像素为单位（例如'640x512'）。其数据类型是str（字符串）。
126,MCI数据文件头中的IMGNUM是什么意思，其数据类型是什么？,MCI数据文件头中的IMGNUM表示图像编号，是整数型（int），用于区分同一观测序列中的不同图像。
127,MCI的FILTERNO指的是什么，其数据类型是怎样的？,MCI的FILTERNO指的是使用的滤光片编号，是字符串型（str），用于标识观测时所使用的滤光片。
128,CSST_MCI数据文件头中的DATE代表什么，数据类型是？,CSST_MCI数据文件头中的DATE代表文件写入的日期和时间（yyyy-mm-ddThh:mm:ss.s），是字符串型（str）。
129,对于MCI数据文件，OBSID的含义是什么，其数据类型是？,对于MCI数据文件，OBSID的含义是观测ID，是字符串型（str），用于唯一标识一次观测。
