,content,summary
34,机遇目标观测数据处理有哪些指标要求和可追踪性？,机遇目标观测数据处理的指标要求和可追踪性在表14.22中有具体说明，但具体内容未在提供的文档段落中展示，因此需要直接查阅该表格获取详情。
35,什么是软件失效模式分析？,软件失效模式分析是对软件系统中可能发生的失效模式进行分析，以确定每种失效模式的原因、影响及其发生概率，从而制定相应的预防措施和应对策略。在提供的文档中，软件失效模式分析的内容在表15.1中，但具体内容未在提供的文档段落中展示。
36,软件危险源清单包含哪些内容？,软件危险源清单包含的内容是软件系统中可能引发危险的各项因素，如代码缺陷、设计错误、安全风险等。但具体的软件危险源清单在表15.2中，并未在提供的文档段落中详细列出。
37,载人空间站工程巡天空间望远镜科学数据处理系统主要完成哪些功能？,载人空间站工程巡天空间望远镜科学数据处理系统主要完成三项功能：科学观测需求编排、数据处理和观测数据仿真。
38,什么是观测数据仿真？,观测数据仿真是指针对设施平台、主光机和各个后端模块的设计和运行特点模拟观测数据的过程，用于测试数据处理系统的性能和准确性。
39,在本文档中，哪个部分定义了需要实现的主要功能？,在本文档中，需要实现的主要功能在1.2节系统概述中定义，主要包括科学观测需求编排、数据处理和观测数据仿真三项功能。
40,"专用术语""BPIXTAB""的全称及解释是什么？","专用术语""BPIXTAB""的全称是Bad Pixel Table，解释是坏像素参考文件，用于记录并管理探测器上的坏像素信息。"
41,"""CCDTAB""在数据处理中起什么作用？","""CCDTAB""在数据处理中用于存储CCD每门读出的本底、读出噪声、增益以及每门读出尺寸等参数信息，对于图像数据的校正和转换起到关键作用。"
42,积分视场光谱仪（IFS）在科学数据处理系统中用于什么目的？,积分视场光谱仪（IFS）在科学数据处理系统中用于对观测到的光谱数据进行处理和分析，生成满足科学用户需求的科学数据产品。
43,PSCAN2 是什么？,PSCAN2 是表示垂直预扫描高度的一个关键字，每个读出通道都有。
44,OSCAN1 的值是多少？,OSCAN1 的值是 320，表示每个读出通道的水平过扫描宽度。
45,哪两个关键字表示读取开始和结束的时间？,READT0 和 READT1 这两个关键字分别表示读取开始和结束的时间（UTC）。
46,DETTEMP0 指的是什么？,DETTEMP0 表示在 READT0 时刻的探测器温度。
47,BIN_X 和 BIN_Y 分别代表什么？,BIN_X 和 BIN_Y 分别代表在 X（波长）方向和 Y（空间）方向的 bin 数目。
48,GAIN1 到 GAIN4 是什么的增益？,GAIN1 到 GAIN4 分别表示 CCD 的四个通道（1到4）的增益。
49,RON1 指的是什么？,RON1 表示 CCD 第一个通道（channel 1）的读取噪声。
50,DETBIA1 到 DETBIA4 是什么的电压？,DETBIA1 到 DETBIA4 分别表示四个通道（channel 1 到 4）的放大器偏置电压。
51,ROSPEED 的单位是什么？,ROSPEED 的单位是 MHz，表示读出速度。
52,CHECKSUM 和 DATASUM 分别代表什么？,CHECKSUM 和 DATASUM 分别表示 HDU 校验和和数据单元校验和，用于数据完整性检查。
53,BIAS_MAS 指的是哪个文件？,BIAS_MAS 指的是偏差主文件的文件名，用于图像处理中的偏差校正。
54,PROCESS 表示什么？,PROCESS 表示已经完成的处理步骤或流程的字符串表示。
55,RSS_VER 指的是什么版本？,RSS_VER 表示 RSS（可能是某种软件或系统）的当前版本。
56,CRPIX1 和 CRPIX2 分别是什么的坐标？,CRPIX1 和 CRPIX2 分别表示参考点的像素坐标。
57,CRVAL1 和 CRVAL2 分别表示什么的坐标值？,CRVAL1 和 CRVAL2 分别表示参考点在指定坐标系统中的坐标值。
58,流量定标星场图像如何用于计算透过率？,流量定标星场图像被用于计算透过率，通过定期拍摄的一组流量定标星场图像，可以计算得到透过率。
59,如何分析透过率在全视场空间的变化？,针对长期监测获得的多组透过率，进行统计分析，可以获取透过率在全视场空间的变化。
60,透过率随时间变化的分析结果如何获取？,通过长期监测获得多组透过率，并对这些数据进行统计分析，可以得到透过率随时间的变化分析结果。
61,孔径改正函数是如何通过流量定标星场数据计算得到的？,针对在轨定标定期拍摄的一组流量定标星场数据，进行计算，从而得到孔径改正函数。
62,什么是光谱分辨率？它如何被计算和分析随时间的变化？,光谱分辨率是描述光谱仪器区分不同波长光的能力。通过定期拍摄的一组波长定标星场图像或巡天特定时间段的一维光谱科学数据，可以计算光谱分辨率。针对长期监测获得的多组光谱分辨率，进行统计分析，可以获得光谱分辨率随时间的变化。
63,光谱PSF（点扩散函数）是如何测量的？,光谱PSF是针对在轨定标定期拍摄的一组特定星场图像或巡天特定时间段获得的多幅1级科学图像，进行计算得到的。
64,如何分析光谱PSF随时间的变化？,针对在轨定标长期监测获得的多组光谱PSF，进行统计分析，可以获得光谱PSF随时间的变化。
65,无缝光谱像场畸变是如何测量的？,无缝光谱像场畸变是通过在轨定标定期拍摄的一组特定星场图像或巡天特定时间段获得的多幅1级科学图像来测量的。
66,如何进行探测器本底与噪声的工作包处理？,探测器本底与噪声的工作包处理涉及对原始本底图像的处理，扣除过扫描后合并图像以获取平均本底和涨落，后者对应读出噪声。
67,探测器暗电流工作包是如何处理暗电流和热像元的？,探测器暗电流工作包通过扣除本底并除以曝光时间后合并暗电流原始图像来获取暗电流图像，并同时标示出量子效率不同的冷热像元。
68,滤光片内部平场定标工作包的主要功能是什么？,滤光片内部平场定标工作包主要用于生成不同滤光片的内部平场图，并标示出对光电响应不同的冷热像元。
69,CTE（电荷转移效率）工作包是如何计算CCD电荷转移效率的？,CTE工作包利用扩展像元边缘效应（EPER）方法，通过内部平场数据计算CCD的电荷转移效率。
70,定标灯亮度工作包如何监测定标灯亮度变化？,定标灯亮度工作包利用内部平场数据，通过辐射标定等过程后，得到对应定标灯亮度的数据，以监测其亮度变化。
71,探测器PTC工作包如何处理探测器的满阱、增益和非线性等特性？,探测器PTC工作包通过多帧不同曝光时间的平场图像，利用PTC曲线方法分析计算探测器的满阱、增益、非线性等特性参数。
72,图像几何畸变工作包是如何获取几何畸变参数的？,图像几何畸变工作包采用科学图像恒星位置与星表精确位置的比较分析，或通过对星团和密集星群的多角度观测，以及点目标与像元位置的对应等方式，来获取几何畸变参数。
73,有效载荷运行管理中心提供什么给观测需求编排？,有效载荷运行管理中心提供任务辅助数据产品给观测需求编排，用于生成最优观测天区序列。
74,科学观测需求编排功能产生什么描述脚本？,科学观测需求编排功能产生的观测需求编排描述脚本将会给有效载荷运控管理系统用于生成上注指令。
75,哪个系统用于生成上注指令？,有效载荷运控管理系统用于生成上注指令。
76,图5.2展示了什么的主要内容？,图5.2展示了系统内部的主要信息流，包括有效载荷运控管理系统、数据处理、观测数据仿真和科学观测需求编排等部分。
77,数据处理会将哪两级的数据处理状态信息传递给科学观测需求编排？,数据处理会将已经完成的1、2级数据处理的状态信息传递给科学观测需求编排。
78,观测数据仿真功能用于什么？,观测数据仿真功能用于仿真一段时间的观测天区序列，包括天区中心位置、观测时刻望远镜的姿态等数据，提供给数据处理功能用于算法的验证。
79,科学数据处理在科学与应用数据中心提供的什么数据基础上进行？,科学数据处理在科学与应用数据中心提供的0级数据的基础上进行。
80,巡天模块多色成像数据处理的主要步骤有哪些？,巡天模块多色成像数据处理的主要步骤包括仪器效应改正、宇宙线影响去除、位置和流量定标等，形成1级科学图像数据，并在此基础上形成2级合并图像数据和2级星表数据。
81,天体测量数据处理的主要功能是什么？,天体测量数据处理主要功能包括单帧图像的目标提取、定心和天体测量，以及多历元位置解算BCRS下天体测量5参数的工作，最终生成包括天体三维位置运动等参数及其误差的天体测量星表和太阳系快速移动天体历表等2级天测科学数据。
82,多通道成像仪数据处理的主要步骤有哪些？,多通道成像仪数据处理的主要步骤包括仪器效应改正、背景光和宇宙线影响去除、定标形成1级科学图像数据，并在上述1级科学图像数据基础上生成合并图像数据、图像相减数据和2级星表数据。
83,积分视场光谱仪数据处理的主要步骤是什么？,积分视场光谱仪数据处理的主要步骤包括仪器效应改正、背景光和宇宙线影响去除、光谱追迹等处理，生成1级单次曝光的三维光谱数据立方体，再进行多次曝光叠加、波长定标和流量定标，最终生成1级三维光谱数据立方体数据产品，并在其基础上进行谱线和连续测量处理，生成2级科学数据立方体。
84,数据库需要保存哪些内容？,数据库需要保存的内容包括0级数据记录、1级数据记录、2级数据、外部参考数据、全天观测天区中心位置表、最新望远镜的各项状态参数、工程遥测数据、观测计划和进度表等。
85,数据库需要提供哪些功能支持？,数据库需要提供的功能支持包括保存各类星表、高效查询内容、动态写入0-2级数据内容、静态保存外部参考星表数据内容、支持基于天球位置匹配的单表/多表合并操作、支持天文数据的锥形检索/矩形检索功能、支持依据Healpix天区划分协议的天区检索查询、通过python API实现对数据库中保存的内容进行查询/写入/更新等。
86,流水线运行管理的主要功能是什么？,流水线运行管理的主要功能包括实现云计算框架下数据处理支撑平台和数据处理软件之间的平滑连接、支持使用容器对数据处理业务功能的封装、支持根据支撑平台提供的计算资源对数据处理流水线的动态调度和并行化运行、提供数据处理模块的统一软件框架及规范、确保数据处理流水线运行的可靠性等。
87,Post-Flash 参考图像的主要用途是什么？,Post-Flash 参考图像主要用于监测Post-Flash LED的长期稳定性。
88,如何监测Post-Flash LED的长期稳定性？,通过Post-Flash 参考图像生成及稳定性分析工作包(KSC-SJB-PK-11)来监测Post-Flash LED的长期稳定性。
89,光子响应线性度计算的主要目的是什么？,光子响应线性度计算的主要目的是获得探测器的光子响应线性度，并监测其长期稳定性。
90,探测器电荷转移效率的计算有何意义？,探测器电荷转移效率的计算旨在获得探测器的电荷转移效率，并监测其随时间的变化，这对于评估探测器性能和图像质量非常重要。
91,南大西洋异常区穿越对仪器状态有何影响？,南大西洋异常区穿越对仪器状态的影响可以通过南大西洋异常区穿越影响监测分析工作包(KSC-SJB-PK-14)来评估。
92,如何处理异常关机后的测试数据？,异常关机后的测试数据可以通过异常关机后恢复情况的监测分析工作包(KSC-SJB-PK-15)进行处理。
93,图像质量及稳定性监测的主要功能是什么？,图像质量及稳定性监测的主要功能是获取全视场内的PSF分布等信息及其随时间的变化，以确保图像的持续高质量和稳定性。
94,如何通过视场内恒星的位置测量来计算焦面比例尺和畸变？,通过视场内恒星的位置测量来计算探测器焦面的各个位置处的比例尺以及整个视场的畸变，这是图像质量及稳定性监测的一个重要部分。
95,测光零点测量及随时间变化的监测如何执行？,测光零点测量及随时间变化的监测通常利用观测的测光标准星，计算相应波段和探测器的流量定标零点、颜色项改正，并定期监测滤光片和探测器系统的污染变化以及定标参数随时间的变化。
96,测光平场生成及稳定性监测的主要目的是什么？,测光平场生成及稳定性监测的主要目的是通过特定星场的多指向观测，获取基于不同滤光片的低频平场，同时还可计算相应探测器的畸变改正、颜色改正以及CTE电荷丢失改正，并监测长期稳定性变化。
97,巡天模块无缝光谱方面的在轨定标数据处理有哪些主要功能？,巡天模块无缝光谱方面的在轨定标数据处理功能包括平场立方体参考图像生成及稳定性监测、波长零点获取及稳定性监测、追迹及光谱轨迹函数随时间变化的监测等，以确保无缝光谱数据的准确性和可靠性。
98,多通道成像仪模块MCI在轨定标主要关注哪些方面？,多通道成像仪模块MCI在轨定标主要关注图像的稳定性、质量、测光零点等，通过对定标数据和常规科学观测数据的分析，为数据处理系统MCI流水线提供必要的定标参考文件。
99,IFS在轨定标数据处理主要关注哪些内容？,IFS在轨定标数据处理主要关注图像的稳定性、质量、波长定标、辐射亮度定标等，确保IFS数据处理的准确性和可靠性。
100,星冕仪模块CPIC在轨定标的主要功能有哪些？,星冕仪模块CPIC在轨定标的主要功能包括探测器性能及稳定性监测、测光零点与测光交叉定标等，为CPIC数据处理流水线提供必要的定标参考文件。
101,太赫兹模块在轨定标的数据处理主要关注哪些指标？,太赫兹模块在轨定标的数据处理主要关注太赫兹性能监测、频率精度定标、太赫兹模块观测效率以及太赫兹模块指向定标等，确保太赫兹模块观测数据的准确性和可靠性。
102,卫星姿态误差的要求是多少？,卫星姿态误差的要求是不大于0.05角秒（开精密导星仪情况下，单倍中误差）。
103,什么是时间戳？在数据传输中的作用是什么？,时间戳是位置和姿态信息应附有的时间标记，它严格对应信息测量的时间点。在数据传输中，时间戳用于确保数据的时序性和准确性，以支持后续的数据处理和分析。
104,后端探测器电压变化为何需要采样？,后端探测器电压变化需要采样是为了后期分析在曝光时标上电压的漂移对观测图像的影响，以提高图像处理的精度和可靠性。
105,波前组件的星点质心坐标用于什么目的？,波前组件的星点质心坐标用于辅助图像后期点扩散函数重构、盲反卷积计算，以提高图像的空间分辨率和成像质量。
106,解算出的Zernike系数在图像处理中的作用是什么？,解算出的Zernike系数用于辅助图像后期点扩散函数重构、盲反卷积计算，有助于改善图像的对比度、减少噪声和伪影，提高图像的清晰度。
107,主焦面探测器温度测量值的采样频率是怎样的？,主焦面探测器温度测量值的采样频率是每次曝光前、中、后各一次，用于得到对应温度下暗场结果，进而对对应温度下图像进行暗场扣除，以提高图像的准确性和可靠性。
108,定标光源档位、开灯时长等信息用于哪些观测应用？,定标光源档位、开灯时长等信息用于进行平场定标、Postflash等在轨亮灯观测应用，以校准仪器性能和提高图像处理的准确性。
109,卫星平台位置误差的要求是多少？,卫星平台位置误差的要求是不大于16.8公里（单倍中误差）。
110,卫星平台速度误差有何要求？,卫星平台速度误差的要求是不大于0.025米/秒（单倍中误差）。
111,平台或设施姿态数据包括哪些信息？,平台或设施姿态数据包括导星时序广播数据表、平台姿态数据表和GPS定位数据表，需求包括卫星平台位置误差、速度误差和姿态误差等，用于提高星场缝合的位置定位精度。
112,IFS模块中探测器温度测量对数据处理有何影响？,IFS模块中探测器温度测量对数据处理有重要影响，它可能影响到BIAS、暗流等数据，因此在数据处理过程中需要对温度进行监控。
113,定标切换机构状态参数主要用于什么目的？,定标切换机构状态参数主要用于数据处理中的质量校验，确保定标过程的准确性和可靠性。
114,曝光编号在数据处理中的作用是什么？,曝光编号在数据处理中用于与观测编排进行闭环操作，是数据管理和处理的重要标识。
115,图像辅助数据中，可见光相机的曝光时间如何确定？,图像辅助数据中，可见光相机的曝光时间是在每次曝光前确定的，用于数据处理中的曝光时间计算。
116,可见光相机读出通道的数量对图像处理有何影响？,可见光相机读出通道的数量对图像处理有影响，不同通道读出噪声不同，这会影响到图像的信噪比和成像质量。
117,什么是几何畸变修正参数？,几何畸变修正参数是为数据处理提供几何畸变修正的参数，这些参数通常用于修正由于仪器设计或观测条件引起的图像几何形状变化。
118,星团观测几何畸变如何定义？,从文档中找不到答案。
119,超级平场工作包的主要作用是什么？,超级平场工作包的主要作用是为数据处理分析提供高信噪比的平场，通过大量同一滤光片图像的叠加形成超级平场。
120,L-平场工作包是为了解决什么问题？,L-平场工作包是为了解决MCI外部平场大尺度变化特性问题，通过多角度拍摄星场或星团图像，并计算同一颗恒星在不同位置的亮度，获取大尺度平场（L-平场）修正参数。
121,星团CTE工作包的主要目标是什么？,星团CTE工作包的主要目标是针对MCI电荷转移效率进行定标，通过多角度拍摄星场或星团图像，并分析同一颗恒星亮度在不同位置随行和列的循序变化特性，计算探测器CTE大尺度平场修正参数。
122,测光零点工作包的作用是什么？,测光零点工作包的作用是为数据处理分析提供测光零点参数，通过对标准星观测图像进行平场、几何校正等流水线处理，获取标准星对应电子数，计算电子数与恒星亮度关系，获取MCI系统光电效率或测光零点。
123,点扩散函数工作包主要关注什么特性？,点扩散函数工作包主要关注MCI成像质量特别是点扩散函数特性，通过对不同滤光片点目标图像进行分析，获取、构建不同波段、不同位置的点扩散函数。
124,孔径生长曲线工作包是如何工作的？,孔径生长曲线工作包通过对不同滤光片点目标图像（恒星）进行多孔径测光，得到点源星等（亮度）与孔径大小之间的关系曲线即生长曲线，这样可以根据采集孔径重新计算流量，为后续测光的孔径改正提供改正参数。
125,图像质量及稳定性监测工作包的主要功能是什么？,图像质量及稳定性监测工作包的主要功能是对MCI多方面工作性能进行监测，包括图像的点扩散函数、离焦、几何畸变、位置稳定性等参数，用以判断是否需要及时进行定标。
126,探测器本底与噪声工作包如何处理探测器本底和读出噪声？,探测器本底与噪声工作包通过一组原始本底图像，扣除过扫描后进行合并，获取平均本底和涨落（后者对应读出噪声），为IFS数据处理提供需要扣除的探测器本底和读出噪声。
127,探测器暗电流工作包主要做什么？,探测器暗电流工作包主要针对IFS探测器暗电流进行定标，通过一组暗电流原始图像，扣除本底并除以曝光时间再进行合并获得暗电流图像，为数据处理提供需要扣除的暗电流图。
128,内部光谱灯定标工作包包含哪些模块？,内部光谱灯定标工作包包含两个模块，一是内部灯波长定标，通过分析波长定标灯图像获取像元与波长的对应关系；二是内部灯线扩散函数，通过分析波长定标灯图像获取不同发射线（波长）的线扩散函数。
129,内部平场灯定标工作包是如何进行的？,内部平场灯定标工作包首先利用内部连续谱平场灯产生内部平场图像，然后扣除本底和暗电流进行叠加、归一化，获取内部平场图并标示异常像元。接着利用扩展像元边缘效应（EPER）方法和平场图像计算CCD电荷转移效率。最后利用内部平场数据，扣除暗电流，修正平场和CTE效应，得到平场亮度对应定标灯亮度，以监测定标灯亮度变化。
130,巡天模块0级处理流水线主要处理什么数据？,巡天模块0级处理流水线首先将运控中心下传的0级数据图像作为输入，经过数据类型判断后，如果为多色成像数据的图像将进行多色成像0级数据图像可用性标记，对图像进行图像评估，根据要求对图像进行分类。如果为无缝光谱数据的图像将进行无缝光谱0级数据图像可用性标记，对图像进行图像评估，对不同的图像进行分类，最后完成图像评估的数据入库。
131,巡天模块中的多色成像0级处理流水线是如何分类图像的？,多色成像0级处理流水线在图像评估阶段，针对多色测光功能将图像分成正常图像（II0）和特殊图像。特殊图像包括：密集星场图像（I3）、近邻可分解星系图像（II1）、近邻大星系图像（II2）、星云天区图像（II3）、星系团图像（II4）、饱和污染图像（II5）等。针对天体测量功能根据图像中的恒星密度和参考星表中的恒星密度，将图像分为低密度星场天区（I1），中等密度星场天区（I2），高密度星场天区（I3）。
132,无缝光谱0级处理流水线的主要任务是什么？,无缝光谱0级处理流水线的主要任务是将每天的观测数据首先进行QC0的科学可用性标记，然后立即触发图像评估工作包，进行无缝光谱图像的类型检测，将图像分成正常图像和特殊图像，完成0级处理流水线。
133,多色成像1级处理流水线包含哪些类型的图像处理？,多色成像1级处理流水线包括正常图像数据处理日常流程和特殊图像数据处理日常流程，共7条流水线。其中正常图像数据处理日常流程包含单幅图像处理流水线；特殊图像数据处理日常流程包括密集星场处理流水线、近邻可分解星系处理流水线、近邻大星系处理流水线、星云处理流水线、星系团流水线和饱和污染流水线。
134,什么是密集星场图像处理流水线？,密集星场图像处理流水线是在标准单幅图像数据处理流水线之上增加对密集星场中高度重叠天体的识别和证认，证认其中的背景星系，使用PSF测光完成星表提取的流水线。
135,近邻可分解星系图像处理流水线的主要功能是什么？,近邻可分解星系图像处理流水线的主要功能是在密集星场中证认来源于星系以及前景的点源目标，使用PSF测光完成星表提取。由于近邻星系中大多数恒星不会在现有星表中查询到，因此位置定标需要特殊处理。
136,近邻大星系图像处理流水线是如何工作的？,由于文档未直接给出近邻大星系图像处理流水线的具体工作流程，但从上下文可以推断，它可能涉及对近邻大星系图像的特定处理，如目标检测、位置定标、流量定标和星表提取等步骤。
137,1级处理流水线中的天体测量正常图像数据处理日常流水线是如何分类的？,从文档中提到的天体测量正常图像数据处理日常流水线，并未直接给出其分类方式。但根据上下文，可以推测它可能根据图像中的恒星密度和参考星表中的恒星密度，将图像分为低密度星场天区（I1）、中等密度星场天区（I2）和高密度星场天区（I3）。
138,巡天模块2级处理流水线生成哪些数据产品？,巡天模块2级处理流水线将读取1级处理流水线的结果作为输入，最后输出各类数据产品，包括合并星表、PSF均匀化、合并图像数据、星系红移、强引力透镜源表生成、恒星星表参数生成和高精度流量定标等数据产品。
139,如何理解图10.6中展示的单幅图像处理流程？,图10.6展示了单幅图像处理流程，包括从辅助图像及基本参数文件、仪器效应改正、目标检测、外部星表交叉匹配、位置定标、流量定标到星表提取的一系列处理步骤。最终得到的是定标后的单次曝光科学图像和单次曝光星表，并归档存入数据库。
140,IFS数据处理软件有哪些主要的流水线？,IFS数据处理软件的主要流水线包括IFS 0级数据准备流水线、IFS单次曝光处理流水线、IFS多次曝光合成流水线和IFS二级数据处理流水线。
141,IFS 0级数据准备流水线的主要功能是什么？,IFS 0级数据准备流水线主要完成两个工作包，即QC0检验和图像数据入库。QC0检验首先进行校验码校验，然后进行0级数据的科学可用性标记，并在图像数据完成可用性标记后，提取图像关键参数信息进行索引标识后进行数据入库。
142,IFS单次曝光处理流水线如何处理原始图像？,IFS单次曝光处理流水线首先从数据库获取一组具有科学可用性的单次曝光的原始图像，经过仪器效应改正、光谱成像位置追踪、光谱抽取、波长定标、流量定标等一系列处理，生成全波段数据立方，并进行质量检测和数据索引，形成可入库的单次曝光数据立方。
143,IFS多次曝光合成流水线是如何合成多次曝光的数据的？,IFS多次曝光合成流水线首先从数据库读取单个或一组科学目标的一组单次曝光的一级光谱数据立方，经过数据读取评估、天体测量定标、图像叠加、天光背景扣除等步骤，生成以科学目标为索引的多次曝光合成的一级光谱数据，经过质量检测和数据库索引后存入数据库。
144,IFS二级数据处理流水线的主要工作包括哪些？,IFS二级数据处理流水线主要包含两大部分：光谱质量检验和光谱科学参数提取。光谱质量检验环节首先检查数据有效性、光谱信噪比等，然后进行科学参数的提取，包括恒星的运动学参数、气体对应的发射线流量和运动学参数、以及星族相关的年龄、金属丰度等，最后输出IFS科学数据包存储。
145,IFS数据处理软件的流水线编号是如何命名的？,"IFS数据处理软件的流水线编号采用""KSC-SJ6-PLx-yy""的格式进行命名，其中""KSC""代表空间科学中心，""SJ6""代表空间天文望远镜项目，""PLx""代表处理流程的级别，""yy""为流水线的具体编号。"
146,IFS 0级数据准备流水线的工作包有哪些？,IFS 0级数据准备流水线包括QC0检验和图像数据入库两个工作包。
